Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-5-6-F-4-NO2BBr,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1(Br),Br,F,F,NO2,32.4,2.012341087,1.8722,3.529,-7.419,C1,1.8813,0.0091,3.316,-0.213,-4.75,2.9056,0.164,-11.349,0.017690557,0.012635097,-0.001380701,-0.011254396,0.05606319,0.001380701,1.46E-06,-0.017690557,-5.78,-5.710702665,-5.33,-5.265615141,0.063798891,0.000585968,6.42,-0.02972
2-3-5-6-FBBr,c1(F)c(F)cc(F)c(F)c1(Br),Br,F,F,H,24.3,2.021002132,1.8765,3.485,-6.523,C1,1.8839,0.0074,3.328,-0.157,-4.164,2.9453,0.157,-10.902,0.016360252,0.011682389,-0.001368833,-0.010313556,0.052204891,0.001368833,1.13E-06,-0.016360252,-4.75,-4.696597112,-4.32,-4.268025584,0.050301162,0.001673254,5.83,-0.02444
2-3-5-6-NH2BBr,c1(N)c(N)cc(N)c(N)c1(Br),Br,NH2,NH2,H,11.6,2.06367549,1.9117,2.88,-7.786,C1,1.9113,-0.0004,2.925,0.045,-6.504,3.1022,0.103,-9.838,0.0124,0.00861,-0.0012,-0.00742,0.0392,0.0012,1.99E-06,-0.0124,-2.53,-2.499580931,-2.2,-2.165859404,0.032961819,0.001178777,3.46,-0.01332
2-3-5-6-OHBBr,c1(O)c(O)cc(O)c(O)c1(Br),Br,OH,OH,H,26,2.048110476,1.9047,3.017,-6.413,C1,1.9062,0.0015,3.029,0.012,-4.659,3.0328,0.132,-10.304,0.0141,0.00989,-0.00127,-0.00862,0.0447,0.00127,9.56E-07,-0.0141,-4.12,-4.079171062,-3.75,-3.708147062,0.042209427,-0.000356488,4.44,-0.01807
2-3-5-6-SHBBr,c1(S)c(S)cc(S)c(S)c1(Br),Br,SH,SH,H,23.2,2.05060021,1.9091,2.848,-6.865,C1,1.9098,0.0007,2.873,0.025,-5.178,3.0233,0.136,-10.437,0.0143,0.0101,-0.00128,-0.00881,0.0454,0.00128,3.73E-06,-0.0143,-4.04,-4.001529939,-3.66,-3.622584056,0.037355641,6.03E-05,4.55,-0.01885
2-4-6_BH2_3-5_CNBBr,c1(B)c(C#N)c(B)c(C#N)c(B)c1(Br),Br,BH2,CN,BH2,28.2,2.044489984,1.9099,2.879,-11.2,Cs,1.9094,-0.0005,2.919,0.04,-9.629,2.9871,0.152,-10.45,0.0154,0.0108,-0.00129,-0.00951,0.0484,0.00129,2.00E-06,-0.0154,-4.77,-4.710660227,-4.35,-4.293194514,0.057372566,-0.00056708,5.13,-0.02215
2-4-6_BH2_3-5_FBBr,c1(B)c(F)c(B)c(F)c(B)c1(Br),Br,BH2,F,BH2,18.7,2.046850905,1.9011,2.917,-11.717,C1,1.9006,-0.0005,2.93,0.013,-10.662,3.0198,0.135,-9.794,0.0144,0.0101,-0.00129,-0.00882,0.0456,0.00129,2.21E-06,-0.0144,-3.64,-3.607377417,-3.25,-3.212846731,0.036089326,0.001063942,4.6,-0.01884
2-4-6_BH2_3-5_NO2BBr,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(Br),Br,BH2,NO2,BH2,22.5,2.039886449,1.8973,3.125,-10.459,C1,1.8986,0.0013,3.133,0.008,-8.781,2.9977,0.147,-10.554,0.015,0.0105,-0.00131,-0.00924,0.0474,0.00131,1.32E-06,-0.015,-4.16,-4.115002482,-3.78,-3.732536876,0.04654238,0.000920745,4.88,-0.02029
2-4-6_NH2_3-5_CNBBr,c1(N)c(C#N)c(N)c(C#N)c(N)c1(Br),Br,NH2,CN,NH2,23.5,2.049772675,1.9026,3.06,-4.999,C1,1.9044,0.0018,3.068,0.008,-3.235,3.0471,0.123,-10.566,0.0137,0.00961,-0.00126,-0.00836,0.0435,0.00126,1.39E-06,-0.0137,-3.72,-3.683833174,-3.35,-3.315057259,0.034928434,1.43E-05,4.27,-0.01692
2-4-6_NH2_3-5_FBBr,c1(N)c(F)c(N)c(F)c(N)c1(Br),Br,NH2,F,NH2,15.2,2.054406129,1.9015,3.066,-5.171,C1,1.9031,0.0016,3.075,0.009,-3.756,3.0732,0.111,-10.128,0.013,0.00911,-0.00123,-0.00787,0.0414,0.00123,6.42E-07,-0.013,-2.96,-2.919465107,-2.61,-2.573230955,0.035868443,0.000900602,3.8,-0.01471
2-4-6_NH2_3-5_NO2BBr,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(Br),Br,NH2,NO2,NH2,26.4,2.047717622,1.9091,2.95,-4.699,C1,1.9117,0.0026,2.945,-0.005,-2.884,3.0307,0.133,-10.712,0.0141,0.00994,-0.00127,-0.00867,0.0449,0.00127,4.85E-07,-0.0141,-4.12,-4.080204821,-3.72,-3.681035237,0.039282095,-0.000317332,,-0.01646
2-4-6_OH_3-5_CNBBr,c1(O)c(C#N)c(O)c(C#N)c(O)c1(Br),Br,OH,CN,OH,37.5,2.032886018,1.8991,3.14,-5.234,C1,1.9034,0.0043,3.095,-0.045,-2.872,2.9695,0.16,-11.21,0.0159,0.0112,-0.00132,-0.00988,0.0501,0.00132,3.04E-06,-0.0159,-5.65,-5.594042373,-5.24,-5.18772871,0.052146039,0.000125251,5.6,-0.02357
2-4-6_OH_3-5_FBBr,c1(O)c(F)c(O)c(F)c(O)c1(Br),Br,OH,F,OH,28.5,2.040895996,1.9012,3.099,-4.753,C1,1.9044,0.0032,3.077,-0.022,-2.832,3.0092,0.145,-10.607,0.0147,0.0104,-0.0013,-0.00906,0.0466,0.0013,2.28E-06,-0.0147,-4.56,-4.51516529,-4.18,-4.13633563,0.043869189,-0.000204819,4.82,-0.0198
2-4-6_SH_3-5_CNBBr,c1(S)c(C#N)c(S)c(C#N)c(S)c1(Br),Br,SH,CN,SH,32.9,2.037640948,1.9011,3.003,-6.079,C1,1.9041,0.003,2.98,-0.023,-4.178,2.9798,0.155,-11.024,0.0156,0.011,-0.00131,-0.00967,0.0492,0.00131,3.84E-06,-0.0156,-5.17,-5.130959188,-4.76,-4.717671786,0.042507494,-0.000179279,12.61,-0.02155
2-4-6_SH_3-5_FBBr,c1(S)c(F)c(S)c(F)c(S)c1(Br),Br,SH,F,SH,25.5,2.043532243,1.8996,3.026,-5.804,C1,1.9018,0.0022,3.017,-0.009,-4.198,3.0074,0.144,-10.577,0.0147,0.0104,-0.0013,-0.0091,0.0468,0.0013,2.17E-06,-0.0147,-4.34,-4.307848701,-3.95,-3.913228257,0.036859908,-8.82E-05,4.8,-0.01991
2-4-6-BH2BBr,c1(B)cc(B)cc(B)c1(Br),Br,BH2,H,BH2,13.7,2.056630352,1.9068,2.831,-12.122,C1,1.9046,-0.0022,2.879,0.048,-11.213,3.056,0.116,-9.522,0.0135,0.00942,-0.00125,-0.00817,0.0427,0.00125,1.07E-06,-0.0135,-2.99,-2.959020169,-2.61,-2.574710497,0.03365459,0.001634913,4.09,-0.01629
2-4-6-ClBBr,c1(Cl)cc(Cl)cc(Cl)c1(Br),Br,Cl,H,Cl,20.2,2.027362384,1.8827,3.318,-6.466,C1,1.8877,0.005,3.234,-0.084,-4.59,2.9738,0.15,-10.708,0.015507198,0.011055462,-0.00135326,-0.009702202,0.049634888,0.00135326,1.28E-06,-0.015507198,-4.1,-4.050714134,-3.69,-3.6454029,0.042469843,0.002127257,5.36,-0.02171
2-4-6-CN-3-5-CF3BBr,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(Br),Br,CN,CF3,CN,37.2,2.003823018,1.8716,3.464,-8.908,C1,1.88,0.0084,3.253,-0.211,-6.402,2.8567,0.188,-11.587,0.019573932,0.013960013,-0.001368243,-0.01259177,0.061313023,0.001368243,1.51E-06,-0.019573932,-7,-6.935431781,-6.51,-6.447567888,0.061728109,0.000704003,7.54,-0.03607
2-4-6-CN-3-5-NO2BBr,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(Br),Br,CN,NO2,CN,42.8,1.998160678,1.8686,3.511,-9.232,C1,1.8786,0.01,3.246,-0.265,-6.349,2.8315,0.206,-11.975,0.020609481,0.014662707,-0.001342757,-0.01331995,0.064021859,0.001342757,6.02E-07,-0.020609481,-7.77,-7.704469774,-7.27,-7.200475524,0.069126446,0.000398029,8.25,-0.03996
2-4-6-CNBBr,c1(C#N)cc(C#N)cc(C#N)c1(Br),Br,CN,H,CN,31.3,2.01219181,1.875,3.428,-8.696,C1,1.8811,0.0061,3.284,-0.144,-6.625,2.8987,0.169,-10.996,0.018024081,0.012845548,-0.001375177,-0.011470372,0.056882899,0.001375177,1.46E-06,-0.018024081,-6.01,-5.96005988,-5.55,-5.504858222,0.044147803,0.000993975,6.82,-0.02948
2-4-6-F-3-5-CF3BBr,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(Br),Br,F,CF3,F,30,2.013685269,1.8738,3.537,-5.907,C1,1.883,0.0092,3.334,-0.203,-3.15,2.9137,0.162,-11.373,0.017385664,0.012439062,-0.001379842,-0.01105922,0.055275618,0.001379842,1.66E-06,-0.017385664,-5.51,-5.442015647,-5.07,-5.001159823,0.067959279,0.000880898,6.27,-0.02872
2-4-6-F-3-5-NO2BBr,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(Br),Br,F,NO2,F,35.3,2.007462197,1.8731,3.548,-6.144,C1,1.884,0.0109,3.294,-0.254,-2.951,2.8831,0.169,-11.791,0.018470829,0.013206942,-0.001384132,-0.01182281,0.058364295,0.001384132,1.20E-06,-0.018470829,-6.26,-6.184089556,-5.8,-5.725014309,0.074541853,0.000443837,6.96,-0.03262
2-4-6-FBBr,c1(F)cc(F)cc(F)c1(Br),Br,F,H,F,20.3,2.025298751,1.8787,3.468,-5.577,C1,1.8853,0.0066,3.345,-0.123,-3.401,2.9712,0.152,-10.777,0.015552492,0.011106495,-0.00135138,-0.009755114,0.049831501,0.00135138,7.85E-07,-0.015552492,-4.14,-4.093777601,-3.73,-3.682386211,0.045415373,0.002198417,5.41,-0.02185
2-4-6-NH2BBr,c1(N)cc(N)cc(N)c1(Br),Br,NH2,H,NH2,9.7,2.064946641,1.9095,2.918,-5.468,C1,1.9094,-0.0001,2.963,0.045,-4.236,3.1154,0.099,-9.751,0.012,0.00834,-0.00117,-0.00717,0.038,0.00117,3.16E-06,-0.012,-2.31,-2.279151276,-1.98,-1.945559894,0.033101754,0.001338352,3.23,-0.01212
2-4-6-OHBBr,c1(O)cc(O)cc(O)c1(Br),Br,OH,H,OH,22.4,2.050841086,1.9064,2.996,-4.981,C1,1.9079,0.0015,3.014,0.018,-3.295,3.0469,0.125,-10.276,0.0137,0.00962,-0.00126,-0.00836,0.0435,0.00126,1.66E-06,-0.0137,-3.78,-3.740937794,-3.41,-3.371209747,0.038830915,-4.07E-05,4.24,-0.01686
2-4-6-SHBBr,c1(S)cc(S)cc(S)c1(Br),Br,SH,H,SH,20.5,2.049726334,1.9036,2.943,-5.828,C1,1.9055,0.0019,2.957,0.014,-4.331,3.0369,0.128,-10.32,0.014,0.00982,-0.00127,-0.00855,0.0444,0.00127,2.13E-06,-0.014,-3.75,-3.682491559,-3.37,-3.301346005,0.068461286,0.000192708,4.35,-0.01756
2-6_NH2_3-4-5_CNBBr,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(Br),Br,NH2,CN,CN,33.7,2.040383922,1.8979,3.101,-7.022,C1,1.9005,0.0026,3.085,-0.016,-5.116,3.002,0.148,-10.793,0.0149,0.0105,-0.0013,-0.00921,0.0472,0.0013,7.40E-07,-0.0149,-4.86,-4.826152723,-4.47,-4.431850936,0.03830318,-0.000154116,4.89,-0.0205
2-6_NH2_3-4-5_FBBr,c1(N)c(F)c(F)c(F)c(N)c1(Br),Br,NH2,F,F,20.8,2.048776705,1.9001,3.087,-6.06,C1,1.902,0.0019,3.085,-0.002,-4.515,3.0472,0.122,-10.136,0.0137,0.00959,-0.00126,-0.00833,0.0434,0.00126,2.77E-06,-0.0137,-3.53,-3.491339615,-3.16,-3.121532287,0.038064726,0.000402987,4.16,-0.01655
2-6_NH2_3-5_CN_4_NO2BBr,c1(N)c(C#N)c(N(=O)=O)c(C#N)c(N)c1(Br),Br,NH2,CN,NO2,34.1,2.038842416,1.8975,3.111,-7.053,C1,1.9002,0.0027,3.091,-0.02,-5.153,2.9982,0.15,-10.776,0.015,0.0106,-0.0013,-0.00928,0.0475,0.0013,1.68E-06,-0.015,-4.94,-4.899364257,-4.54,-4.50015572,0.039784102,6.02E-05,4.95,-0.02081
2-6_NH2_3-5_F_4_NO2BBr,c1(N)c(F)c(N(=O)=O)c(F)c(N)c1(Br),Br,NH2,F,NO2,26.6,2.042859797,1.8965,3.116,-7.27,C1,1.8987,0.0022,3.102,-0.014,-5.675,3.0201,0.138,-10.375,0.0144,0.0101,-0.00129,-0.00884,0.0456,0.00129,5.19E-07,-0.0144,-4.18,-4.139142772,-3.8,-3.757266227,0.042852624,-0.00011885,4.57,-0.01866
2-6_NH2_3-5_NO2_4_CNBBr,c1(N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(N)c1(Br),Br,NH2,NO2,CN,35,2.038146992,1.9002,3.059,-6.871,C1,1.9032,0.003,3.034,-0.025,-4.921,2.9922,0.153,-10.911,0.0152,0.0107,-0.0013,-0.00941,0.0481,0.0013,4.37E-07,-0.0152,-5.09,-5.046326981,-4.68,-4.63724577,0.042777323,-2.31E-05,5.04,-0.02139
2-6_NH2_3-5_NO2_4_FBBr,c1(N)c(N(=O)=O)c(F)c(N(=O)=O)c(N)c1(Br),Br,NH2,NO2,F,31,2.041474044,1.9033,3.04,-5.822,C1,1.9062,0.0029,3.023,-0.017,-3.879,3.0093,0.145,-10.72,0.0147,0.0104,-0.00129,-0.00907,0.0466,0.00129,3.06E-06,-0.0147,-4.62,-4.580175274,-4.23,-4.187581425,0.04261417,-0.000195595,4.86,-0.01995
2-6_OH_3-5_BH2_4_CNBBr,c1(O)c(B)c(C#N)c(B)c(O)c1(Br),Br,OH,BH2,CN,34,2.042949966,1.9081,2.944,-7.15,C1,1.9098,0.0017,2.952,0.008,-5.033,2.9964,0.153,-10.87,0.0152,0.0106,-0.00129,-0.00934,0.0477,0.00129,1.31E-06,-0.0152,-5.12,-5.080091009,-4.72,-4.679995579,0.040070874,-6.65E-05,5.08,-0.02115
2-6_OH_3-5_BH2_4_FBBr,c1(O)c(B)c(F)c(B)c(O)c1(Br),Br,OH,BH2,F,29.6,2.047037563,1.9096,2.941,-6.163,C1,1.9113,0.0017,2.959,0.018,-4.096,3.0142,0.144,-10.647,0.0147,0.0103,-0.00129,-0.00898,0.0462,0.00129,1.24E-06,-0.0147,-4.63,-4.580103738,-4.23,-4.183288067,0.046876215,-0.000164282,4.76,-0.01949
2-6_OH_3-5_BH2_4_NO2BBr,c1(O)c(B)c(N(=O)=O)c(B)c(O)c1(Br),Br,OH,BH2,NO2,34.3,2.04220367,1.9076,2.966,-6.786,C1,1.9097,0.0021,2.972,0.006,-4.568,2.9937,0.154,-10.881,0.0153,0.0107,-0.0013,-0.00939,0.0479,0.0013,1.77E-06,-0.0153,-5.17,-5.117197904,-4.76,-4.710141107,0.04984308,1.58E-05,5.14,-0.02137
2-6_OH_3-5_CN_4_NO2BBr,c1(O)c(C#N)c(N(=O)=O)c(C#N)c(O)c1(Br),Br,OH,CN,NO2,45.2,2.025278352,1.8958,3.168,-6.793,C1,1.9011,0.0053,3.091,-0.077,-4.229,2.9344,0.167,-11.41,0.0171,0.012,-0.00133,-0.0107,0.0533,0.00133,8.25E-07,-0.0171,-6.63,-6.573860807,-6.21,-6.150041593,0.059192971,0.000765436,6.21,-0.02729
2-6_OH_3-5_F_4_NO2BBr,c1(O)c(F)c(N(=O)=O)c(F)c(O)c1(Br),Br,OH,F,NO2,37.5,2.032135246,1.8975,3.134,-6.508,C1,1.9015,0.004,3.084,-0.05,-4.378,2.9689,0.16,-10.924,0.0159,0.0112,-0.00132,-0.00989,0.0501,0.00132,1.61E-06,-0.0159,-5.64,-5.591601362,-5.24,-5.187353773,0.052616672,2.96E-05,5.48,-0.02353
2-6_OH_3-5_NH2_4_CNBBr,c1(O)c(N)c(C#N)c(N)c(O)c1(Br),Br,OH,NH2,CN,27.3,2.047504717,1.9046,3.002,-7.534,C1,1.9059,0.0013,3.013,0.011,-5.765,3.0239,0.138,-10.597,0.0144,0.0101,-0.00128,-0.00879,0.0454,0.00128,1.49E-06,-0.0144,-4.32,-4.275412735,-3.94,-3.893660871,0.04655493,-0.000215801,4.53,-0.01869
2-6_OH_3-5_NH2_4_FBBr,c1(O)c(N)c(F)c(N)c(O)c1(Br),Br,OH,NH2,F,22.3,2.051916792,1.9065,2.998,-6.286,C1,1.9078,0.0013,3.016,0.018,-4.574,3.0462,0.125,-10.355,0.0138,0.00964,-0.00126,-0.00838,0.0436,0.00126,1.03E-07,-0.0138,-3.77,-3.728732734,-3.4,-3.357802622,0.042275315,-7.79E-05,4.24,-0.01703
2-6_OH_3-5_NH2_4_NO2BBr,c1(O)c(N)c(N(=O)=O)c(N)c(O)c1(Br),Br,OH,NH2,NO2,28.6,2.045910018,1.9038,3.001,-8.219,C1,1.9051,0.0013,3.014,0.013,-6.444,3.0165,0.142,-10.635,0.0146,0.0102,-0.00128,-0.00894,0.046,0.00128,6.42E-07,-0.0146,-4.5,-4.44385511,-4.11,-4.056584572,0.053595586,-0.000180158,4.64,-0.0193
2-6_OH_3-5_NO2_4_CNBBr,c1(O)c(N(=O)=O)c(C#N)c(N(=O)=O)c(O)c1(Br),Br,OH,NO2,CN,45.7,2.023638222,1.8944,3.175,-6.746,C1,1.9,0.0056,3.088,-0.087,-4.151,2.9289,0.168,-11.448,0.0172,0.0121,-0.00133,-0.0108,0.0538,0.00133,1.22E-06,-0.0172,-6.74,-6.684296204,-6.32,-6.260264923,0.058992168,0.000742908,6.29,-0.02786
2-6_OH_3-5_NO2_4_FBBr,c1(O)c(N(=O)=O)c(F)c(N(=O)=O)c(O)c1(Br),Br,OH,NO2,F,41.6,2.026513015,1.8975,3.157,-5.593,C1,1.9028,0.0053,3.086,-0.071,-3.072,2.9465,0.165,-11.231,0.0166,0.0117,-0.00133,-0.0104,0.0522,0.00133,7.20E-07,-0.0166,-6.22,-6.163664122,-5.81,-5.750644943,0.059023544,0.000331513,6.05,-0.02599
2-6_OH_4_NH2_3-5_CNBBr,c1(O)c(C#N)c(N)c(C#N)c(O)c1(Br),Br,OH,CN,NH2,33.9,2.036554825,1.9,3.127,-4.459,C1,1.9038,0.0038,3.095,-0.032,-2.202,2.9853,0.156,-11.194,0.0154,0.0109,-0.00131,-0.00955,0.0487,0.00131,5.32E-07,-0.0154,-5.21,-5.159981502,-4.81,-4.761641859,0.048431183,-7.30E-05,5.29,-0.02197
2-6_OH_4_NH2_3-5_FBBr,c1(O)c(F)c(N)c(F)c(O)c1(Br),Br,OH,F,NH2,25.6,2.044188966,1.9018,3.089,-4.185,C1,1.9046,0.0028,3.075,-0.014,-2.369,3.0218,0.138,-10.597,0.0144,0.0101,-0.00129,-0.00882,0.0456,0.00129,1.03E-06,-0.0144,-4.24,-4.191866121,-3.86,-3.815789257,0.044352372,-0.000141629,4.6,-0.01871
2-6_opp_H_3-5_4-OHBBr,c1(O)c(O)c(O)c(O)c(O)c1(Br),Br,OH,OH,OH,23.4,2.048931242,1.9045,3.037,-5.232,C1,1.9063,0.0018,3.043,0.006,-3.485,3.0377,0.129,-10.414,0.014,0.00979,-0.00127,-0.00852,0.0442,0.00127,3.27E-06,-0.014,-3.93,-3.889550869,-3.56,-3.519697638,0.040907344,-0.000604982,4.35,-0.01754
2-6_opp_H_3-5_4-SHBBr,c1(S)c(S)c(S)c(S)c(S)c1(Br),Br,SH,SH,SH,22.9,2.049016937,1.9087,2.837,-6.171,C1,1.9097,0.001,2.879,0.042,-4.473,3.0207,0.137,-10.673,0.0144,0.0101,-0.00128,-0.00886,0.0457,0.00128,1.37E-06,-0.0144,-4.05,-4.01681607,-3.66,-3.623333741,0.036746956,-8.07E-05,,-0.01795
