Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-5-6-CN-4-NO2BACl,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(C#C(Cl)),Cl,CN,CN,NO2,37.6,1.901223078,1.635,5.694,-12.512,1.2099,17.263,9.764,C1,1.6386,0.0036,5.415,-0.279,-12.243,1.2117,0.0018,17.077,-0.186,11.188,2.9079,0.159,-6.476,0.015,0.0111,-0.00182,-0.00929,0.0517,0.00182,2.39E-06,-0.015,-5.15,-5.128969983,-4.77,-4.753401119,0.016559976,3.89E-05,57.16,-0.01427
2-3-5-6-CNBACl,c1(C#N)c(C#N)cc(C#N)c(C#N)c1(C#C(Cl)),Cl,CN,CN,H,33.3,1.903991829,1.6372,5.66,-11.104,1.2095,17.316,8.315,C1,1.6408,0.0036,5.397,-0.263,-10.741,1.2111,0.0016,17.15,-0.166,9.525,2.9219,0.15,-6.497,0.0146,0.0108,-0.00179,-0.009,0.0503,0.00179,3.50E-06,-0.0146,-4.71,-4.693635267,-4.34,-4.326629467,0.013642057,-0.000271523,3.46,-0.01337
2-3-5-6-F-4-CF3BACl,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1(C#C(Cl)),Cl,F,F,CF3,28.5,1.910015709,1.6429,5.575,-9.039,1.2088,17.435,5.821,C1,1.6464,0.0035,5.343,-0.232,-8.647,1.2101,0.0013,17.302,-0.133,6.854,2.9532,0.133,-6.3,0.0137,0.0101,-0.0017,-0.00841,0.0472,0.0017,2.84E-06,-0.0137,-3.96,-3.948361059,-3.62,-3.607860891,0.012569015,-0.000429907,3.11,-0.01153
2-3-5-6-F-4-NO2BACl,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1(C#C(Cl)),Cl,F,F,NO2,30.3,1.909095205,1.642,5.587,-9.576,1.2089,17.423,6.353,C1,1.6456,0.0036,5.348,-0.239,-9.231,1.2103,0.0014,17.284,-0.139,7.486,2.9466,0.136,-6.296,0.0139,0.0102,-0.00171,-0.00853,0.0478,0.00171,2.16E-06,-0.0139,-4.14,-4.129949758,-3.79,-3.777374823,0.013008272,-0.000383095,3.19,-0.01191
2-3-5-6-FBACl,c1(F)c(F)cc(F)c(F)c1(C#C(Cl)),Cl,F,F,H,24.7,1.913068153,1.6448,5.546,-7.995,1.2087,17.442,4.732,C1,1.6482,0.0034,5.329,-0.217,-7.578,1.21,0.0013,17.322,-0.12,5.641,2.9669,0.127,-6.293,0.0133,0.00982,-0.00166,-0.00816,0.0459,0.00166,3.26E-06,-0.0133,-3.59,-3.578720313,-3.25,-3.240388688,0.009989951,-0.000378639,2.96,-0.01077
2-3-5-6-NH2BACl,c1(N)c(N)cc(N)c(N)c1(C#C(Cl)),Cl,NH2,NH2,H,18.9,1.919579803,1.6525,5.42,-4.853,1.213,17.011,0.838,C1,1.6557,0.0032,5.234,-0.186,-4.378,1.2138,0.0008,16.941,-0.07,1.57,2.9982,0.112,-6.529,0.0125,0.00921,-0.00157,-0.00763,0.0431,0.00157,2.76E-06,-0.0125,-2.9,-2.885742119,-2.59,-2.577571359,0.012519442,-9.08E-05,2.68,-0.00934
2-3-5-6-OHBACl,c1(O)c(O)cc(O)c(O)c1(C#C(Cl)),Cl,OH,OH,H,28.2,1.912076574,1.6488,5.479,-5.722,1.2136,16.981,1.544,C1,1.6526,0.0038,5.254,-0.225,-5.114,1.2146,0.001,16.893,-0.088,2.286,2.9621,0.128,-6.649,0.0134,0.00992,-0.00167,-0.00825,0.0464,0.00167,2.20E-06,-0.0134,-3.8,-3.791408383,-3.47,-3.456538227,0.01384286,-0.000381087,3.06,-0.01124
2-3-5-6-SHBACl,c1(S)c(S)cc(S)c(S)c1(C#C(Cl)),Cl,SH,SH,H,27.2,1.912997631,1.6483,5.484,-6.786,1.2125,17.046,3.203,C1,1.6518,0.0035,5.264,-0.22,-6.193,1.2136,0.0011,16.948,-0.098,3.991,2.9605,0.129,-6.883,0.0135,0.00996,-0.00168,-0.00829,0.0466,0.00168,2.45E-06,-0.0135,-3.79,-3.780922699,-3.44,-3.429173767,0.01121987,-0.000393637,3.06,-0.01128
2-4-6_BH2_3-5_CNBACl,c1(B)c(C#N)c(B)c(C#N)c(B)c1(C#C(Cl)),Cl,BH2,CN,BH2,29.9,1.910562711,1.6431,5.558,-10.443,1.2099,17.25,7.987,C1,1.6467,0.0036,5.317,-0.241,-9.622,1.2139,0.004,16.741,-0.509,8.082,2.9413,0.139,-6.501,0.014,0.0104,-0.00173,-0.00864,0.0484,0.00173,5.04E-07,-0.014,-4.28,-3.431333329,-3.92,-3.071742698,0.850243997,-0.001986695,,-0.01201
2-4-6_BH2_3-5_FBACl,c1(B)c(F)c(B)c(F)c(B)c1(C#C(Cl)),Cl,BH2,F,BH2,25.2,1.914042349,1.6445,5.535,-9.604,1.2098,17.27,7.24,C1,1.6476,0.0031,5.329,-0.206,-9.439,1.2112,0.0014,17.131,-0.139,8.464,2.9685,0.127,-6.274,0.0133,0.0098,-0.00165,-0.00815,0.0458,0.00165,2.44E-06,-0.0133,-3.6,-3.588139231,-3.26,-3.247662285,0.012738443,-0.000400728,2.91,-0.01067
2-4-6_BH2_3-5_NO2BACl,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(C#C(Cl)),Cl,BH2,NO2,BH2,22.5,1.913821883,1.646,5.519,-8.506,1.2095,17.341,5.418,C1,1.649,0.003,5.309,-0.21,-7.843,1.2113,0.0018,17.16,-0.181,5.924,2.9641,0.128,-6.473,0.0134,0.00988,-0.00167,-0.00821,0.0462,0.00167,8.00E-07,-0.0134,-3.69,-3.930953946,-3.35,-3.587268747,-0.23679071,-0.000478037,2.99,-0.01103
2-4-6_NH2_3-5_CNBACl,c1(N)c(C#N)c(N)c(C#N)c(N)c1(C#C(Cl)),Cl,NH2,CN,NH2,25.7,1.914957292,1.6513,5.442,-4.653,1.2139,16.899,-0.075,C1,1.6549,0.0036,5.235,-0.207,-4.084,1.2147,0.0008,16.833,-0.066,0.683,2.9782,0.122,-6.709,0.013,0.0096,-0.00163,-0.00798,0.0449,0.00163,3.87E-06,-0.013,-3.45,-3.443692819,-3.13,-3.118864154,0.011514799,-0.000378953,2.9,-0.01044
2-4-6_NH2_3-5_FBACl,c1(N)c(F)c(N)c(F)c(N)c1(C#C(Cl)),Cl,NH2,F,NH2,19.9,1.918679636,1.6524,5.421,-4.302,1.2137,16.911,-0.25,C1,1.6557,0.0033,5.234,-0.187,-3.842,1.2144,0.0007,16.854,-0.057,0.553,2.997,0.113,-6.537,0.0125,0.00923,-0.00158,-0.00765,0.0432,0.00158,1.65E-06,-0.0125,-2.95,-2.934945767,-2.64,-2.625571298,0.014614696,-0.000185994,2.69,-0.0094
2-4-6_NH2_3-5_NO2BACl,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(C#C(Cl)),Cl,NH2,NO2,NH2,27.7,1.912996585,1.6508,5.45,-4.929,1.2142,16.873,0.224,C1,1.6545,0.0037,5.231,-0.219,-4.295,1.215,0.0008,16.805,-0.068,0.966,2.9659,0.127,-6.821,0.0133,0.00985,-0.00166,-0.00819,0.0461,0.00166,2.83E-06,-0.0133,-3.69,-3.678283418,-3.35,-3.33788938,0.014426443,-0.002315824,33.23,-0.01005
2-4-6_OH_3-5_CNBACl,c1(O)c(C#N)c(O)c(C#N)c(O)c1(C#C(Cl)),Cl,OH,CN,OH,35.1,1.907160867,1.6459,5.526,-6.638,1.2137,16.963,2.08,C1,1.65,0.0041,5.267,-0.259,-5.923,1.2148,0.0011,16.865,-0.098,2.899,2.9349,0.142,-6.858,0.0142,0.0105,-0.00175,-0.00876,0.049,0.00175,1.22E-06,-0.0142,-4.54,-4.521252132,-4.19,-4.17359847,0.016377998,2.35E-05,3.39,-0.0129
2-4-6_OH_3-5_FBACl,c1(O)c(F)c(O)c(F)c(O)c1(C#C(Cl)),Cl,OH,F,OH,28.7,1.911643014,1.6483,5.488,-5.584,1.214,16.931,1.111,C1,1.6521,0.0038,5.258,-0.23,-4.961,1.215,0.001,16.845,-0.086,1.871,2.9571,0.13,-6.691,0.0136,0.01,-0.00169,-0.00834,0.0469,0.00169,4.00E-07,-0.0136,-3.91,-3.892293085,-3.57,-3.555366165,0.014972377,-0.000338541,3.12,-0.0115
2-4-6_SH_3-5_CNBACl,c1(S)c(C#N)c(S)c(C#N)c(S)c1(C#C(Cl)),Cl,SH,CN,SH,33.1,1.90849058,1.6462,5.517,-7.527,1.2125,17.039,3.583,C1,1.6501,0.0039,5.271,-0.246,-6.891,1.2137,0.0012,16.93,-0.109,4.488,2.9407,0.138,-6.998,0.014,0.0104,-0.00173,-0.00866,0.0485,0.00173,2.03E-06,-0.014,-4.36,-4.343284163,-4,-3.986900551,0.01321535,-0.000115901,3.3,-0.01251
2-4-6_SH_3-5_FBACl,c1(S)c(F)c(S)c(F)c(S)c1(C#C(Cl)),Cl,SH,F,SH,27.7,1.91236056,1.6478,5.493,-6.807,1.2125,17.05,2.899,C1,1.6513,0.0035,5.269,-0.224,-6.256,1.2136,0.0011,16.953,-0.097,3.772,2.9585,0.13,-6.802,0.0135,0.01,-0.00168,-0.00832,0.0467,0.00168,1.65E-06,-0.0135,-3.85,-3.838007239,-3.5,-3.489967943,0.010429208,-0.000397151,3.08,-0.01139
2-4-6-BH2BACl,c1(B)cc(B)cc(B)c1(C#C(Cl)),Cl,BH2,H,BH2,22.2,1.916210592,1.6464,5.505,-8.9,1.2103,17.237,6.4,C1,1.6493,0.0029,5.311,-0.194,-8.751,1.2116,0.0013,17.109,-0.128,7.59,2.9808,0.121,-6.23,0.0129,0.00955,-0.00162,-0.00793,0.0447,0.00162,2.57E-06,-0.0129,-3.29,-3.279363768,-2.95,-2.939503398,0.010787516,-0.000290913,2.78,-0.01005
2-4-6-ClBACl,c1(Cl)cc(Cl)cc(Cl)c1(C#C(Cl)),Cl,Cl,H,Cl,22.8,1.91461,1.6457,5.526,-7.874,1.209,17.38,4.616,C1,1.6489,0.0032,5.323,-0.203,-7.508,1.2102,0.0012,17.267,-0.113,5.558,2.9766,0.123,-6.375,0.013,0.00963,-0.00163,-0.00799,0.0451,0.00163,8.80E-07,-0.013,-3.36,-3.35,-3.02,-3.01169077,0.00860943,-0.000300201,2.85,-0.01023
2-4-6-CN-3-5-CF3BACl,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(C#C(Cl)),Cl,CN,CF3,CN,34.3,1.903096977,1.6358,5.681,-12.171,1.2097,17.274,9.437,C1,1.6393,0.0035,5.415,-0.266,-11.914,1.2114,0.0017,17.098,-0.176,10.815,2.9175,0.153,-6.42,0.0147,0.0109,-0.0018,-0.00909,0.0508,0.0018,1.02E-06,-0.0147,-4.83,-4.811814131,-4.45,-4.434442157,0.015781864,-0.000224021,2.77,-0.01355
2-4-6-CN-3-5-NO2BACl,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(C#C(Cl)),Cl,CN,NO2,CN,38.1,1.900699667,1.6341,5.707,-13.044,1.2103,17.228,10.32,C1,1.6377,0.0036,5.427,-0.28,-12.805,1.2121,0.0018,17.038,-0.19,11.808,2.9049,0.161,-6.429,0.0151,0.0112,-0.00183,-0.00935,0.0521,0.00183,2.81E-06,-0.0151,-5.23,-5.206479956,-4.85,-4.830676535,0.019302192,2.13E-05,5.15,-0.01415
2-4-6-CNBACl,c1(C#N)cc(C#N)cc(C#N)c1(C#C(Cl)),Cl,CN,H,CN,30.4,1.906193959,1.6386,5.636,-10.961,1.2098,17.289,8.128,C1,1.642,0.0034,5.388,-0.248,-10.689,1.2114,0.0016,17.13,-0.159,9.39,2.933,0.144,-6.348,0.0142,0.0105,-0.00176,-0.00879,0.0492,0.00176,1.97E-06,-0.0142,-4.38,-4.36750603,-4.02,-4.007579579,0.012801194,-0.000380773,3.32,-0.01262
2-4-6-F-3-5-CF3BACl,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(C#C(Cl)),Cl,F,CF3,F,28.2,1.910294554,1.6435,5.567,-8.407,1.2085,17.453,4.996,C1,1.647,0.0035,5.336,-0.231,-7.947,1.2098,0.0013,17.328,-0.125,5.942,2.9545,0.132,-6.388,0.0136,0.0101,-0.00169,-0.00839,0.0471,0.00169,2.17E-06,-0.0136,-3.93,-3.919294819,-3.58,-3.56837388,0.012048182,-0.000422063,3.11,-0.01149
2-4-6-F-3-5-NO2BACl,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(C#C(Cl)),Cl,F,NO2,F,31.7,1.907841236,1.6418,5.594,-9.17,1.2086,17.445,5.798,C1,1.6455,0.0037,5.347,-0.247,-8.696,1.21,0.0014,17.31,-0.135,6.812,2.9415,0.138,-6.429,0.014,0.0104,-0.00173,-0.00863,0.0484,0.00173,1.16E-06,-0.014,-4.29,-4.275795516,-3.93,-3.918009297,0.012324287,-0.000333584,3.26,-0.01226
2-4-6-FBACl,c1(F)cc(F)cc(F)c1(C#C(Cl)),Cl,F,H,F,21.8,1.91602036,1.6468,5.514,-6.946,1.2088,17.428,3.451,C1,1.6502,0.0034,5.311,-0.203,-6.512,1.2099,0.0011,17.322,-0.106,4.279,2.9807,0.121,-6.308,0.0129,0.00954,-0.00162,-0.00792,0.0447,0.00162,2.74E-06,-0.0129,-3.26,-3.24694349,-2.93,-2.9208981,0.009337341,-0.000235442,2.83,-0.01008
2-4-6-NH2BACl,c1(N)cc(N)cc(N)c1(C#C(Cl)),Cl,NH2,H,NH2,16.5,1.921387521,1.6543,5.39,-3.519,1.2144,16.826,-1.096,C1,1.6574,0.0031,5.216,-0.174,-3.077,1.215,0.0006,16.782,-0.044,-0.375,3.0116,0.105,-6.521,0.0122,0.00895,-0.00154,-0.00741,0.042,0.00154,2.13E-06,-0.0122,-2.62,-2.607384553,-2.31,-2.29610399,0.013787011,0.000108998,2.56,-0.00873
2-4-6-OHBACl,c1(O)cc(O)cc(O)c1(C#C(Cl)),Cl,OH,H,OH,24.9,1.914619205,1.6501,5.46,-4.834,1.2146,16.87,0.276,C1,1.6537,0.0036,5.247,-0.213,-4.248,1.2154,0.0008,16.796,-0.074,0.997,2.9722,0.124,-6.636,0.0132,0.00972,-0.00165,-0.00807,0.0454,0.00165,3.97E-07,-0.0132,-3.52,-3.504270703,-3.19,-3.176913227,0.013422428,-0.000335655,2.96,-0.01066
2-4-6-SHBACl,c1(S)cc(S)cc(S)c1(C#C(Cl)),Cl,SH,H,SH,24.8,1.914489337,1.6493,5.47,-6.153,1.2127,17.018,2.195,C1,1.6528,0.0035,5.258,-0.212,-5.613,1.2137,0.001,16.929,-0.089,3.016,2.9702,0.125,-6.786,0.0132,0.00976,-0.00165,-0.00812,0.0457,0.00165,4.78E-07,-0.0132,-3.55,-3.536909355,-3.21,-3.200901991,0.009500494,-0.000402485,2.96,-0.01076
2-6_NH2_3-4-5_CNBACl,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(C#C(Cl)),Cl,NH2,CN,CN,33.8,1.909275576,1.6475,5.499,-6.928,1.2131,17.001,2.708,C1,1.6514,0.0039,5.259,-0.24,-6.349,1.2141,0.001,16.904,-0.097,3.622,2.9484,0.135,-6.737,0.0138,0.0102,-0.00171,-0.00851,0.0477,0.00171,3.94E-06,-0.0138,-4.25,-4.237354284,-3.9,-3.888283707,0.011797179,-8.09E-05,3.23,-0.01213
2-6_NH2_3-4-5_FBACl,c1(N)c(F)c(F)c(F)c(N)c1(C#C(Cl)),Cl,NH2,F,F,24.3,1.91594937,1.6506,5.451,-5.225,1.2129,17.008,1.158,C1,1.6541,0.0035,5.246,-0.205,-4.687,1.2138,0.0009,16.933,-0.075,1.877,2.9808,0.121,-6.583,0.0129,0.00955,-0.00162,-0.00793,0.0447,0.00162,2.35E-06,-0.0129,-3.36,-3.347163033,-3.04,-3.026898982,0.013497729,-0.000396712,2.85,-0.01023
2-6_NH2_3-5_CN_4_NO2BACl,c1(N)c(C#N)c(N(=O)=O)c(C#N)c(N)c1(C#C(Cl)),Cl,NH2,CN,NO2,33.9,1.909405989,1.6474,5.502,-6.981,1.213,17.011,2.844,C1,1.6512,0.0038,5.26,-0.242,-6.407,1.214,0.001,16.913,-0.098,3.758,2.9469,0.135,-6.742,0.0139,0.0102,-0.00171,-0.00854,0.0478,0.00171,2.02E-07,-0.0139,-4.28,-4.271421775,-3.94,-3.927303475,0.012763543,-6.70E-05,3.24,-0.01221
2-6_NH2_3-5_F_4_NO2BACl,c1(N)c(F)c(N(=O)=O)c(F)c(N)c1(C#C(Cl)),Cl,NH2,F,NO2,28.8,1.912557958,1.6485,5.482,-6.544,1.2126,17.05,2.575,C1,1.652,0.0035,5.261,-0.221,-6.051,1.2136,0.001,16.958,-0.092,3.464,2.9638,0.128,-6.579,0.0134,0.00989,-0.00166,-0.00822,0.0462,0.00166,2.21E-06,-0.0134,-3.8,-3.783683741,-3.47,-3.455339433,0.015028853,-0.000368285,3.03,-0.01114
2-6_NH2_3-5_NO2_4_CNBACl,c1(N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(N)c1(C#C(Cl)),Cl,NH2,NO2,CN,34.6,1.908964612,1.6471,5.504,-7.111,1.2132,16.986,2.896,C1,1.6511,0.004,5.258,-0.246,-6.511,1.2143,0.0011,16.888,-0.098,3.818,2.9434,0.137,-6.799,0.014,0.0103,-0.00172,-0.0086,0.0482,0.00172,6.76E-07,-0.014,-4.37,-4.351761816,-4.02,-4.006425463,0.013591856,-1.73E-05,,-0.01232
2-6_NH2_3-5_NO2_4_FBACl,c1(N)c(N(=O)=O)c(F)c(N(=O)=O)c(N)c1(C#C(Cl)),Cl,NH2,NO2,F,31.3,1.911096435,1.6489,5.48,-5.895,1.2133,16.976,1.63,C1,1.6528,0.0039,5.246,-0.234,-5.232,1.2143,0.001,16.892,-0.084,2.376,2.9553,0.131,-6.82,0.0136,0.0101,-0.00169,-0.00838,0.047,0.00169,4.14E-07,-0.0136,-4.04,-4.024396385,-3.7,-3.686125702,0.014125239,-0.000250941,47.06,-0.01158
2-6_OH_3-5_BH2_4_CNBACl,c1(O)c(B)c(C#N)c(B)c(O)c1(C#C(Cl)),Cl,OH,BH2,CN,34.2,1.907903162,1.6462,5.518,-6.999,1.2138,16.953,2.62,C1,1.6502,0.004,5.265,-0.253,-6.327,1.2149,0.0011,16.853,-0.1,3.493,2.9364,0.141,-6.804,0.0141,0.0105,-0.00174,-0.00873,0.0489,0.00174,2.59E-06,-0.0141,-4.46,-4.440508226,-4.09,-4.075199875,0.014897076,-9.70E-05,3.36,-0.01274
2-6_OH_3-5_BH2_4_FBACl,c1(O)c(B)c(F)c(B)c(O)c1(C#C(Cl)),Cl,OH,BH2,F,30.6,1.910622819,1.6479,5.493,-5.869,1.2141,16.923,1.418,C1,1.6518,0.0039,5.256,-0.237,-5.187,1.2151,0.001,16.836,-0.087,2.162,2.9503,0.133,-6.782,0.0138,0.0102,-0.0017,-0.00847,0.0475,0.0017,4.00E-06,-0.0138,-4.1,-4.081480924,-3.74,-3.725022666,0.015292406,-0.000315073,3.2,-0.01192
2-6_OH_3-5_BH2_4_NO2BACl,c1(O)c(B)c(N(=O)=O)c(B)c(O)c1(C#C(Cl)),Cl,OH,BH2,NO2,34.1,1.907775227,1.6463,5.516,-6.723,1.2138,16.965,2.385,C1,1.6504,0.0041,5.263,-0.253,-6.014,1.2148,0.001,16.866,-0.099,3.189,2.9382,0.14,-6.834,0.0141,0.0104,-0.00174,-0.0087,0.0487,0.00174,2.49E-06,-0.0141,-4.44,-4.42630367,-4.09,-4.074186133,0.015919916,-0.000106049,3.35,-0.01268
2-6_OH_3-5_CN_4_NO2BACl,c1(O)c(C#N)c(N(=O)=O)c(C#N)c(O)c1(C#C(Cl)),Cl,OH,CN,NO2,41,1.90263447,1.6429,5.57,-8.346,1.2132,17.026,4.178,C1,1.6473,0.0044,5.283,-0.287,-7.617,1.2145,0.0013,16.902,-0.124,5.129,2.9135,0.155,-6.91,0.0148,0.011,-0.0018,-0.00918,0.0511,0.0018,6.21E-07,-0.0148,-5.17,-5.153850734,-4.81,-4.790998699,0.018360928,0.000640373,3.66,-0.01434
